"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"0500000US28047","Harrison County, Mississippi","0.4589","0.0354",
"0500000US28049","Hinds County, Mississippi","0.4948","0.0207",
"0500000US28059","Jackson County, Mississippi","0.4510","0.0320",
"0500000US28067","Jones County, Mississippi","0.5043","0.0708",
"0500000US28073","Lamar County, Mississippi","0.4067","0.0357",
"0500000US28075","Lauderdale County, Mississippi","0.4708","0.0270",
"0500000US28081","Lee County, Mississippi","0.4856","0.0345",
"0500000US28089","Madison County, Mississippi","0.4744","0.0303",
"0500000US28121","Rankin County, Mississippi","0.4202","0.0329",
"0500000US29019","Boone County, Missouri","0.4799","0.0336",
"0500000US29021","Buchanan County, Missouri","0.4844","0.0360",
"0500000US29031","Cape Girardeau County, Missouri","0.4583","0.0358",
"0500000US29037","Cass County, Missouri","0.4015","0.0310",
"0500000US29043","Christian County, Missouri","0.4661","0.0582",
"0500000US29047","Clay County, Missouri","0.4208","0.0217",
"0500000US29051","Cole County, Missouri","0.4330","0.0349",
"0500000US29071","Franklin County, Missouri","0.4398","0.0319",
"0500000US29077","Greene County, Missouri","0.4840","0.0231",
"0500000US29095","Jackson County, Missouri","0.4517","0.0105",
"0500000US29097","Jasper County, Missouri","0.4752","0.0410",
"0500000US29099","Jefferson County, Missouri","0.3932","0.0160",
"0500000US29165","Platte County, Missouri","0.4688","0.0369",
"0500000US29183","St. Charles County, Missouri","0.4056","0.0167",
"0500000US29187","St. Francois County, Missouri","0.4634","0.0403",
"0500000US29189","St. Louis County, Missouri","0.5107","0.0107",
"0500000US29510","St. Louis city, Missouri","0.4968","0.0147",
"0500000US30013","Cascade County, Montana","0.4327","0.0249",
"0500000US30029","Flathead County, Montana","0.4395","0.0275",
"0500000US30031","Gallatin County, Montana","0.5106","0.0389",
"0500000US30049","Lewis and Clark County, Montana","0.4150","0.0277",
"0500000US30063","Missoula County, Montana","0.5077","0.0323",
"0500000US30111","Yellowstone County, Montana","0.4309","0.0274",
"0500000US31055","Douglas County, Nebraska","0.4865","0.0122",
"0500000US31109","Lancaster County, Nebraska","0.4404","0.0152",
"0500000US31153","Sarpy County, Nebraska","0.4141","0.0230",
"0500000US32003","Clark County, Nevada","0.4755","0.0065",
"0500000US32031","Washoe County, Nevada","0.4712","0.0165",
"0500000US33005","Cheshire County, New Hampshire","0.4482","0.0258",
"0500000US33009","Grafton County, New Hampshire","0.4513","0.0289",
"0500000US33011","Hillsborough County, New Hampshire","0.4328","0.0197",
"0500000US33013","Merrimack County, New Hampshire","0.4287","0.0202",
"0500000US33015","Rockingham County, New Hampshire","0.4111","0.0167",
"0500000US33017","Strafford County, New Hampshire","0.3948","0.0251",
"0500000US34001","Atlantic County, New Jersey","0.4767","0.0228",
"0500000US34003","Bergen County, New Jersey","0.4785","0.0110",
"0500000US34005","Burlington County, New Jersey","0.4317","0.0144",
"0500000US34007","Camden County, New Jersey","0.4680","0.0134",
"0500000US34009","Cape May County, New Jersey","0.4850","0.0434",
